Normalized Name,Display Name,Category,Explanation
"artificial flavors","Artificial Flavors","concerning","Synthetic compounds that mimic natural flavors; generally safe but offer no nutritional value."
"artificial colors","Artificial Colors","concerning","Synthetic dyes that provide visual appeal; some are linked to hyperactivity and should be limited."
"red 40","Red 40 (Artificial Color)","concerning","A synthetic dye. While approved for use, some studies suggest sensitivity in certain children."
"yellow 5","Yellow 5 (Artificial Color)","concerning","A synthetic dye associated with hyperactivity in sensitive individuals."
"inulin","Inulin (Prebiotic Fiber)","beneficial","A soluble fiber that feeds beneficial gut bacteria and supports digestive health."
"tomato","Tomato","beneficial","Whole tomato providing vitamins, antioxidants, and natural sweetness."
"tomato paste","Tomato Paste","beneficial","Concentrated tomato product rich in lycopene and flavor with minimal additives."
"tomato puree","Tomato Puree","beneficial","Cooked, blended tomatoes offering fiber and phytonutrients for sauces and soups."
"tomato sauce","Tomato Sauce","neutral","Seasoned tomato base; check labels for added sugar or sodium."
"sun dried tomatoes","Sun Dried Tomatoes","beneficial","Dehydrated tomatoes concentrated in antioxidants and savory flavor."
"tomato powder","Tomato Powder","neutral","Dried tomato used for seasoning; neutral unless sodium or additives are included."
"carrot powder","Carrot Powder","beneficial","Dehydrated carrot supplying natural vitamins, fiber, and color."
"ginger powder","Ginger Powder","beneficial","Ground ginger root offering antioxidants and digestive support."
"onion powder","Onion Powder","beneficial","Concentrated onion providing natural flavor along with trace phytonutrients."
"garlic powder","Garlic Powder","beneficial","Dried garlic carrying compounds that support immune and cardiovascular health."
"whole grain oats","Whole Grain Oats","beneficial","A whole grain rich in fiber, supporting heart health and steady energy."
"hydrogenated oil","Hydrogenated Oil","concerning","A source of trans fats that can raise LDL (bad) cholesterol and increase heart disease risk."
"canola oil","Canola Oil","neutral","Common cooking oil with a neutral flavor; choose cold-pressed versions when possible."
"sunflower oil","Sunflower Oil","neutral","Neutral oil frequently used for sautéing and baking. Keep heat moderate to preserve quality."
"safflower oil","Safflower Oil","neutral","Light flavored oil suitable for high-heat cooking; monitor overall omega-6 intake."
"soybean oil","Soybean Oil","neutral","Widely used neutral oil. Fine for most people, though highly refined."
"vinegar","Vinegar","beneficial","Fermented acidifier that supports flavor while contributing minimal calories."
"white vinegar","White Vinegar","beneficial","Bright, fermented acid used for cleaning and cooking with virtually no calories."
"apple cider vinegar","Apple Cider Vinegar","beneficial","Fermented apple tonic containing organic acids and trace phytonutrients."
"balsamic vinegar","Balsamic Vinegar","beneficial","Aged grape vinegar rich in flavor compounds and naturally low in sugar."
"rice vinegar","Rice Vinegar","beneficial","Mild vinegar made from fermented rice that adds brightness without sodium."
"wine vinegar","Wine Vinegar","beneficial","Fermented wine providing acidity and antioxidant compounds."
"red wine vinegar","Red Wine Vinegar","beneficial","Vinegar crafted from red wine that delivers tartness plus polyphenols."
"white wine vinegar","White Wine Vinegar","beneficial","Light vinegar from white wine, excellent for dressings and sauces."
"malt vinegar","Malt Vinegar","beneficial","Barley-based vinegar bringing tangy depth with minimal calories."
"distilled vinegar","Distilled Vinegar","beneficial","Crystal-clear vinegar ideal for pickling and preserving freshness."
"spirit vinegar","Spirit Vinegar","beneficial","Distilled grain vinegar delivering sharp acidity and virtually no sugar."
"organic vinegar","Organic Vinegar","beneficial","Certified organic vinegar produced via natural fermentation."
"organic white vinegar","Organic White Vinegar","beneficial","Organic distilled vinegar offering clean acidity for cooking and pickling."
"xanthan gum","Xanthan Gum","neutral","A fermented polysaccharide used to stabilize and thicken foods."
"guar gum","Guar Gum","neutral","Plant-derived thickener that adds body to sauces and dairy alternatives."
"locust bean gum","Locust Bean Gum","neutral","Carob bean gum used for texture in frozen desserts and plant milks."
"calcium disodium edta","Calcium Disodium EDTA","neutral","Chelating agent that helps prevent discoloration and rancidity in packaged foods."
"egg yolk","Egg Yolk","beneficial","Whole-food source of vitamins, minerals, and healthy fats."
"milk","Milk","neutral","Conventional cow's milk providing calcium and protein with moderate saturated fat."
"reduced fat milk","Reduced Fat Milk","beneficial","Lower-fat milk offering protein and calcium with less saturated fat."
"low fat milk","Low Fat Milk","beneficial","Reduced-fat dairy delivering protein and calcium while limiting saturated fat."
"skim milk","Skim Milk","beneficial","Fat-free milk rich in protein and calcium with minimal saturated fat."
"whole milk","Whole Milk","neutral","Full-fat dairy supplying fat-soluble vitamins alongside higher saturated fat."
"cheese","Cheese","neutral","General cheese ingredient providing calcium and protein with moderate saturated fat."
"cheddar cheese","Cheddar Cheese","neutral","Aged cheese rich in calcium and protein but also saturated fat and sodium."
"mozzarella cheese","Mozzarella Cheese","neutral","Soft cheese offering calcium and protein with moderate sodium."
"parmesan cheese","Parmesan Cheese","neutral","Aged hard cheese with concentrated flavor, protein, and sodium."
"cheese cultures","Cheese Cultures","beneficial","Beneficial bacteria used in cheese fermentation that support gut health."
"cream cheese","Cream Cheese","neutral","Spreadable cheese delivering creamy texture along with higher saturated fat."
"cottage cheese","Cottage Cheese","beneficial","Fresh cheese curds high in protein and relatively low in fat."
"whey protein","Whey Protein","beneficial","Dairy-derived protein supporting muscle maintenance and satiety."
"milk powder","Milk Powder","beneficial","Dehydrated milk preserving protein, calcium, and other nutrients."
"rice flour","Rice Flour","beneficial","Gluten-free flour providing complex carbohydrates and gentle texture."
"brown rice flour","Brown Rice Flour","beneficial","Whole-grain rice flour retaining fiber, minerals, and steady energy."
"white rice flour","White Rice Flour","neutral","Refined rice flour offering light texture but fewer nutrients than whole-grain versions."
"rice starch","Rice Starch","neutral","Refined rice starch used for thickening; provides structure with minimal nutrition."
"tapioca flour","Tapioca Flour","beneficial","Cassava-based starch that is gluten-free and gentle on digestion."
"potato starch","Potato Starch","neutral","Resistant starch used for thickening; neutral unless heavily processed."
"cornstarch","Cornstarch","neutral","Common thickener from corn endosperm; offers texture but limited nutrients."
"arrowroot flour","Arrowroot Flour","beneficial","Root-derived starch that is easy to digest and a good thickener for sensitive diets."
"enzymes","Enzymes","beneficial","Natural catalysts used in food processing that support digestion and fermentation."
"rennet","Rennet","neutral","Coagulating enzyme used in cheese making; typically well tolerated."
"protease","Protease","neutral","Protein-digesting enzyme used to tenderize foods or aid digestion."
"amylase","Amylase","neutral","Starch-digesting enzyme used in baking and food processing."
"monosodium glutamate","Monosodium Glutamate (MSG)","neutral","A flavor enhancer considered safe for most people, though some report sensitivity in large amounts."
